family,instance_id,restricted,topology,synthesis,baseline_true_cells,common_true_cells,lost_in_any_other_seed,lost_in_all_other_seeds,new_true_cells,baseline_unknown_under_other_seeds,retention,classification
max3sat,max3sat_012,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_012,False,ring12,canonical,10,10,0,0,5,0,1.0,stable
max3sat,max3sat_012,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_013,True,grid12,canonical,282,282,0,0,454,0,1.0,stable
max3sat,max3sat_013,True,grid12,reuse,432,432,0,0,1764,0,1.0,stable
max3sat,max3sat_013,True,line12,canonical,549,225,324,324,25,0,0.4098360655737705,partial
max3sat,max3sat_013,True,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_013,True,ring12,canonical,1668,505,1163,1163,0,0,0.302757793764988,partial
max3sat,max3sat_013,True,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_014,False,grid12,canonical,216,216,0,0,0,0,1.0,stable
max3sat,max3sat_014,False,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_014,False,line12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_014,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_014,False,ring12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_014,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_015,False,grid12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_015,False,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_015,False,line12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_015,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_015,False,ring12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_015,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_016,True,grid12,canonical,780,780,0,0,1824,0,1.0,stable
max3sat,max3sat_016,True,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_016,True,line12,canonical,360,360,0,0,1512,0,1.0,stable
max3sat,max3sat_016,True,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_016,True,ring12,canonical,360,360,0,0,1512,0,1.0,stable
max3sat,max3sat_016,True,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_017,True,grid12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_017,True,grid12,reuse,1830,0,1830,1830,0,0,0.0,disappeared
max3sat,max3sat_017,True,line12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_017,True,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
