family,instance_id,topology,synthesis,seed,selected_candidate_id,selected_category,baseline_selected_candidate_id,baseline_selected_feasible,baseline_budget_cells,retained_baseline_budget_cells,baseline_coverage_retention,baseline_resource_task_id,current_resource_task_id,budget_set_definition
max3sat,max3sat_002,grid12,canonical,1729,25e83ab3e9c5e13eb8723cd7,native,25e83ab3e9c5e13eb8723cd7,TRUE,11340,11340,1.0,c7a7a54cb10d6165a3df2c6d,c7a7a54cb10d6165a3df2c6d,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,canonical,2718,25e83ab3e9c5e13eb8723cd7,native,25e83ab3e9c5e13eb8723cd7,FALSE,11340,9450,0.8333333333333334,c7a7a54cb10d6165a3df2c6d,63aa4559bf561810df1a0146,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,canonical,31415,25e83ab3e9c5e13eb8723cd7,native,25e83ab3e9c5e13eb8723cd7,TRUE,11340,11340,1.0,c7a7a54cb10d6165a3df2c6d,de46d000d4bbc3d2926390a6,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,canonical,57721,25e83ab3e9c5e13eb8723cd7,native,25e83ab3e9c5e13eb8723cd7,FALSE,11340,9450,0.8333333333333334,c7a7a54cb10d6165a3df2c6d,189cc051f089799de3bbe88a,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,canonical,65537,25e83ab3e9c5e13eb8723cd7,native,25e83ab3e9c5e13eb8723cd7,TRUE,11340,11340,1.0,c7a7a54cb10d6165a3df2c6d,8034ea8f047e7e252bab6027,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,reuse,1729,9b691b5a0bbee800331e3d6b,native,9b691b5a0bbee800331e3d6b,TRUE,13818,13818,1.0,22c97ff9afa7494e2a610c25,22c97ff9afa7494e2a610c25,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,reuse,2718,9b691b5a0bbee800331e3d6b,native,9b691b5a0bbee800331e3d6b,FALSE,13818,11844,0.8571428571428571,22c97ff9afa7494e2a610c25,ba453165cebb2e8a73dae316,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,reuse,31415,9b691b5a0bbee800331e3d6b,native,9b691b5a0bbee800331e3d6b,TRUE,13818,13818,1.0,22c97ff9afa7494e2a610c25,7b09fe31e0541853cdb0d66c,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,reuse,57721,9b691b5a0bbee800331e3d6b,native,9b691b5a0bbee800331e3d6b,TRUE,13818,13818,1.0,22c97ff9afa7494e2a610c25,e9294c1ef088280c850fc809,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,grid12,reuse,65537,9b691b5a0bbee800331e3d6b,native,9b691b5a0bbee800331e3d6b,FALSE,13818,11844,0.8571428571428571,22c97ff9afa7494e2a610c25,200158bc734855f597a2fc4e,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,canonical,1729,b697992fc04d184594e3f82b,native,b697992fc04d184594e3f82b,TRUE,10780,10780,1.0,5996b70e69cbfdc77306f08a,5996b70e69cbfdc77306f08a,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,canonical,2718,b697992fc04d184594e3f82b,native,b697992fc04d184594e3f82b,TRUE,10780,10780,1.0,5996b70e69cbfdc77306f08a,3f2358ace45ac6e32baa2090,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,canonical,31415,b697992fc04d184594e3f82b,native,b697992fc04d184594e3f82b,FALSE,10780,9310,0.8636363636363636,5996b70e69cbfdc77306f08a,b7fd3a0b1c9c155759f3c9d3,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,canonical,57721,b697992fc04d184594e3f82b,native,b697992fc04d184594e3f82b,TRUE,10780,10780,1.0,5996b70e69cbfdc77306f08a,6e7206460efdd09e1988c76a,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,canonical,65537,b697992fc04d184594e3f82b,native,b697992fc04d184594e3f82b,FALSE,10780,10290,0.9545454545454546,5996b70e69cbfdc77306f08a,b43cc2f29a907eb3e999dfaa,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_002,line12,reuse,1729,5fd180fe6db23e2d65feb84e,native,5fd180fe6db23e2d65feb84e,TRUE,13818,13818,1.0,7d5650bb13f14621a5d8ed6b,7d5650bb13f14621a5d8ed6b,all complete grid tuples feasible for the fixed baseline J winner
