instance_id,family,representation,common_feasible_cohort_id,transpiler_seed_count,two_qubit_gates_mean,two_qubit_depth_mean,swap_count_mean,routing_overhead_mean,compile_runtime_sec_mean,config_hash,manifest_hash,code_commit
inst_7f90e24a78f8a26d1a801c170cc595d5d7669882dcba292c4b15aa6b53b3dacf,cubic_spin_glass,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,84.8,46.8,11.2,30.8,0.006597500000498258,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_7f90e24a78f8a26d1a801c170cc595d5d7669882dcba292c4b15aa6b53b3dacf,cubic_spin_glass,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,41.8,36.8,3.4,9.8,0.0061487600003601985,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_9450ef3d9ff004e2fb5b0139c1d3d736da4d25de602cb1d4c57e69a5aa03741b,max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,126.2,102.0,18.2,50.2,0.007154919998720288,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_9450ef3d9ff004e2fb5b0139c1d3d736da4d25de602cb1d4c57e69a5aa03741b,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,99.4,64.2,13.4,37.4,0.006308340004761703,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_9450ef3d9ff004e2fb5b0139c1d3d736da4d25de602cb1d4c57e69a5aa03741b,max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,126.2,102.0,18.2,50.2,0.006536020000930875,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_c32cb33b55efb0ee1a708f9936b9c45d95c8b4a9c07a53a564b24913ae6b0e3c,max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,111.8,90.2,15.0,33.8,0.007934559998102487,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_c32cb33b55efb0ee1a708f9936b9c45d95c8b4a9c07a53a564b24913ae6b0e3c,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,104.8,68.6,14.0,40.8,0.006736800001817755,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_c32cb33b55efb0ee1a708f9936b9c45d95c8b4a9c07a53a564b24913ae6b0e3c,max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,111.8,90.2,15.0,33.8,0.007888859999366105,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_ccb599d971d1da8d223cf442b00bd17f867272a51c5c1f8e79983c9f8942e2eb,max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,123.2,95.2,16.4,39.2,0.008119160003843717,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_ccb599d971d1da8d223cf442b00bd17f867272a51c5c1f8e79983c9f8942e2eb,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,96.4,60.0,12.8,36.4,0.007912199993734248,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
