family,instance_id,n_design_draws,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_475335f157ee1891b40b8f710155777516f4d877098145d0ddce1fce297c55df,1,selective,0.0,0.0,all_to_all_reference,75.0,140.0
cubic_spin_glass,inst_495d19a3dc95e6442e097c14165743aa29452a251454dd12686b0b682caddf2c,1,all_native,0.0,0.0,all_to_all_reference,102.0,160.0
cubic_spin_glass,inst_495d19a3dc95e6442e097c14165743aa29452a251454dd12686b0b682caddf2c,1,fully_quadratized,0.0,0.0,all_to_all_reference,60.0,240.0
cubic_spin_glass,inst_495d19a3dc95e6442e097c14165743aa29452a251454dd12686b0b682caddf2c,5,matched_random_selective,0.0,0.0,all_to_all_reference,106.8,168.4
cubic_spin_glass,inst_495d19a3dc95e6442e097c14165743aa29452a251454dd12686b0b682caddf2c,1,selective,0.0,0.0,all_to_all_reference,71.0,180.0
cubic_spin_glass,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,1,all_native,0.0,0.0,all_to_all_reference,77.0,96.0
cubic_spin_glass,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,1,fully_quadratized,0.0,0.0,all_to_all_reference,44.0,130.0
cubic_spin_glass,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,5,matched_random_selective,0.0,0.0,all_to_all_reference,78.0,118.4
cubic_spin_glass,inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,1,selective,0.0,0.0,all_to_all_reference,54.0,108.0
cubic_spin_glass,inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,1,all_native,0.0,0.0,all_to_all_reference,29.0,32.0
cubic_spin_glass,inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,1,fully_quadratized,0.0,0.0,all_to_all_reference,28.0,56.0
cubic_spin_glass,inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,5,matched_random_selective,0.0,0.0,all_to_all_reference,29.0,32.0
cubic_spin_glass,inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,1,selective,0.0,0.0,all_to_all_reference,29.0,32.0
cubic_spin_glass,inst_55970a6e9882c541702aea4a808a177a8682c2746c2513cea2cf4365dad37c3c,1,all_native,0.0,0.0,all_to_all_reference,56.0,64.0
cubic_spin_glass,inst_55970a6e9882c541702aea4a808a177a8682c2746c2513cea2cf4365dad37c3c,1,fully_quadratized,0.0,0.0,all_to_all_reference,38.0,114.0
