study,family,instance_id,representation,budget_key,depth_stratum,contrast,draw_count,zero_depth_draw_count,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm
targeted,cubic_spin_glass,inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,selective,equal_layer_p2,positive_depth_only,pair_minus_independence,1,0,0.3889409034287951,6.301076019323091,0.00012444625278960897,0.017944835114439228,-8.881784197001252e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,all_scheduled,pair_minus_cold,1,0,0.04476689842805581,0.7222377074206605,0.0008878576863701887,0.03710287708813598,-5.551115123125783e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,all_scheduled,original_only_minus_cold,1,0,0.05467201730412241,-1.9475465248919122,0.012113884134058513,0.020792416506990152,6.661338147750939e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,all_scheduled,independence_minus_cold,1,0,-0.4602385087132985,-11.376349324891393,0.05647713596402349,-0.046307248142955615,6.661338147750939e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,all_scheduled,pair_minus_original_only,1,0,-0.009905118876066599,2.6697842323125727,-0.011226026447688324,0.016310460581145825,-1.2212453270876722e-15
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,all_scheduled,pair_minus_independence,1,0,0.5050054071413543,12.098587032312054,-0.0555892782776533,0.08341012523109159,-1.2212453270876722e-15
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,positive_depth_only,pair_minus_cold,1,0,0.04476689842805581,0.7222377074206605,0.0008878576863701887,0.03710287708813598,-5.551115123125783e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,positive_depth_only,original_only_minus_cold,1,0,0.05467201730412241,-1.9475465248919122,0.012113884134058513,0.020792416506990152,6.661338147750939e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,positive_depth_only,independence_minus_cold,1,0,-0.4602385087132985,-11.376349324891393,0.05647713596402349,-0.046307248142955615,6.661338147750939e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,positive_depth_only,pair_minus_original_only,1,0,-0.009905118876066599,2.6697842323125727,-0.011226026447688324,0.016310460581145825,-1.2212453270876722e-15
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p1,positive_depth_only,pair_minus_independence,1,0,0.5050054071413543,12.098587032312054,-0.0555892782776533,0.08341012523109159,-1.2212453270876722e-15
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,all_scheduled,pair_minus_cold,1,0,-0.09481089132333498,5.5168558482392385,-0.013201080676657151,0.007722650010642762,-5.551115123125783e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,all_scheduled,original_only_minus_cold,1,0,-0.06787740803226938,-20.38347492629672,0.006838083154646707,-0.07097820296985902,-2.220446049250313e-16
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,all_scheduled,independence_minus_cold,1,0,0.10825571384109756,-16.350556482084684,-0.02989927202220307,-0.09205390762617327,0.0
targeted,cubic_spin_glass,inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,selective,equal_layer_p2,all_scheduled,pair_minus_original_only,1,0,-0.026933483291065596,25.90033077453596,-0.020039163831303858,0.07870085298050178,-3.3306690738754696e-16
