study,family,instance_id,representation,budget_key,policy,depth_stratum,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm,draw_count,restart_count,zero_depth_draw_count,draw_ids,depths
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,original_only,all_scheduled,-0.6066419945779642,40.994101205948915,0.0701974074374774,0.9618310927590749,1.0000000000000002,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,original_only,positive_depth_only,-0.6066419945779642,40.994101205948915,0.0701974074374774,0.9618310927590749,1.0000000000000002,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,pair,all_scheduled,-0.6946358020796124,47.00350418676353,0.052724185043907544,0.9664005664355283,0.9999999999999997,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,pair,positive_depth_only,-0.6946358020796124,47.00350418676353,0.052724185043907544,0.9664005664355283,0.9999999999999997,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,independence,all_scheduled,-0.6660476349413594,42.98694464309637,0.0731983483255363,0.9710830128341695,1.0000000000000002,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p1,independence,positive_depth_only,-0.6660476349413594,42.98694464309637,0.0731983483255363,0.9710830128341695,1.0000000000000002,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p2,cold,all_scheduled,-0.9271222588914497,49.52618156262247,0.06768731384297862,0.9595051333051859,0.9999999999999997,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p2,cold,positive_depth_only,-0.9271222588914497,49.52618156262247,0.06768731384297862,0.9595051333051859,0.9999999999999997,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p2,original_only,all_scheduled,-0.49911456333971177,41.06569227314096,0.04851076779691304,0.9100026649660395,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p2,original_only,positive_depth_only,-0.49911456333971177,41.06569227314096,0.04851076779691304,0.9100026649660395,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p2,pair,all_scheduled,-0.8877592144457775,44.12739346579553,0.09749153785532948,0.9502777814396479,0.9999999999999999,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,selective,equal_layer_p2,pair,positive_depth_only,-0.8877592144457775,44.12739346579553,0.09749153785532948,0.9502777814396479,0.9999999999999999,1,3,0,"[""""]",[2]
